2022-05-16 21:20:41,029 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/css/footer-basic.css HTTP/1.1" 200 -
2022-05-16 21:20:41,406 INFO 127.0.0.1 - - [16/May/2022 21:20:41] "GET /static/assets/fonts/favicon.ico HTTP/1.1" 200 -
2022-05-16 21:20:43,228 INFO 127.0.0.1 - - [16/May/2022 21:20:43] "[35m[1mGET /predict HTTP/1.1[0m" 500 -
2022-05-16 21:20:43,999 INFO 127.0.0.1 - - [16/May/2022 21:20:43] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2022-05-16 21:20:44,024 INFO 127.0.0.1 - - [16/May/2022 21:20:44] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2022-05-16 21:20:44,190 INFO 127.0.0.1 - - [16/May/2022 21:20:44] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2022-05-16 21:20:44,204 INFO 127.0.0.1 - - [16/May/2022 21:20:44] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2022-05-16 21:21:23,425 INFO  * Detected change in 'c:\\Users\\StudentRocks\\Desktop\\jamia\\appred\\appred\\appred.py', reloading
2022-05-16 21:21:23,841 INFO  * Restarting with stat
2022-05-16 21:21:26,540 WARNING  * Debugger is active!
2022-05-16 21:21:26,572 INFO  * Debugger PIN: 331-082-004
2022-05-16 21:21:27,112 INFO  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-05-16 21:21:28,952 INFO  * Detected change in 'c:\\Users\\StudentRocks\\Desktop\\jamia\\appred\\appred\\appred.py', reloading
2022-05-16 21:21:29,106 INFO  * Restarting with stat
2022-05-16 21:21:31,493 WARNING  * Debugger is active!
2022-05-16 21:21:31,508 INFO  * Debugger PIN: 331-082-004
2022-05-16 21:21:31,754 INFO  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-05-16 21:21:32,027 INFO 127.0.0.1 - - [16/May/2022 21:21:32] "[32mGET /predict HTTP/1.1[0m" 308 -
2022-05-16 21:21:32,287 INFO 127.0.0.1 - - [16/May/2022 21:21:32] "[35m[1mGET /predict/ HTTP/1.1[0m" 500 -
2022-05-16 21:21:33,042 INFO 127.0.0.1 - - [16/May/2022 21:21:33] "GET /predict/?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2022-05-16 21:21:33,061 INFO 127.0.0.1 - - [16/May/2022 21:21:33] "GET /predict/?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
